,Origin_Id,Origin Station Complex Name,Origin Latitude,Origin Longitude,Destination_Id,Destination Station Complex Name,Destination Latitude,Destination Longitude,Origin Point,Destination Point,Estimated_Total_Ridership
131,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,391,"138 St-Grand Concourse (4,5)",40.813224,-73.929849,POINT (-73.987581 40.755746),POINT (-73.929849 40.813224),3883.264
388,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,288,Myrtle-Willoughby Avs (G),40.694568,-73.949046,POINT (-73.987581 40.755746),POINT (-73.949046 40.694568),3872.1896
709,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,288,Myrtle-Willoughby Avs (G),40.694568,-73.949046,POINT (-74.007838 40.710089),POINT (-73.949046 40.694568),3863.134
33,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,209,Far Rockaway-Mott Av (A),40.603995,-73.755405,POINT (-73.987581 40.755746),POINT (-73.755405 40.603995),3855.4492
870,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,312,79 St (1),40.783934,-73.979917,POINT (-74.007838 40.710089),POINT (-73.979917 40.783934),3849.9684
929,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,301,181 St (1),40.849505,-73.933596,POINT (-73.977359 40.751992),POINT (-73.933596 40.849505),3839.1074
1806,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,2,"Astoria Blvd (N,W)",40.770258,-73.917843,POINT (-74.007838 40.710089),POINT (-73.917843 40.770258),3838.3235
580,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,352,New Lots Av (3),40.666235,-73.884079,POINT (-73.987581 40.755746),POINT (-73.884079 40.666235),3836.9211
1100,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,38,86 St (R),40.622687,-74.028398,POINT (-73.977359 40.751992),POINT (-74.028398 40.622687),3827.7237
888,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,295,231 St (1),40.878856,-73.904834,POINT (-73.977359 40.751992),POINT (-73.904834 40.878856),3811.837
1810,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,352,New Lots Av (3),40.666235,-73.884079,POINT (-74.007838 40.710089),POINT (-73.884079 40.666235),3791.2111
830,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,360,Pelham Bay Park (6),40.852462,-73.828121,POINT (-73.987581 40.755746),POINT (-73.828121 40.852462),3782.9135
459,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,188,"Euclid Av (A,C)",40.675377,-73.872106,POINT (-73.977359 40.751992),POINT (-73.872106 40.675377),3778.0104
1080,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,371,Hunts Point Av (6),40.820948,-73.890549,POINT (-74.007838 40.710089),POINT (-73.890549 40.820948),3768.7593
466,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,431,"Intervale Av (2,5)",40.822181,-73.896736,POINT (-73.987581 40.755746),POINT (-73.896736 40.822181),3760.9892
1691,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,209,Far Rockaway-Mott Av (A),40.603995,-73.755405,POINT (-74.007838 40.710089),POINT (-73.755405 40.603995),3760.8825
