,Origin_Id,Origin Station Complex Name,Origin Latitude,Origin Longitude,Destination_Id,Destination Station Complex Name,Destination Latitude,Destination Longitude,Origin Point,Destination Point,Estimated_Total_Ridership
256,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,372,Longwood Av (6),40.816104,-73.896435,POINT (-73.977359 40.751992),POINT (-73.896435 40.816104),3043.5853
585,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,615,New Utrecht Av (N)/62 St (D),40.625657,-73.996624,POINT (-73.987581 40.755746),POINT (-73.996624 40.625657),3034.5664
327,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,383,183 St (4),40.858407,-73.903879,POINT (-74.007838 40.710089),POINT (-73.903879 40.858407),3024.1502
106,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,129,Halsey St (L),40.695602,-73.904084,POINT (-74.007838 40.710089),POINT (-73.904084 40.695602),3023.1744
274,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,446,Morris Park (5),40.854364,-73.860495,POINT (-73.987581 40.755746),POINT (-73.860495 40.854364),3012.2501
79,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,417,"Nereid Av (2,5)",40.898379,-73.854376,POINT (-73.987581 40.755746),POINT (-73.854376 40.898379),3003.7659
1316,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,57,"W 8 St-NY Aquarium (F,Q)",40.576127,-73.975939,POINT (-73.987581 40.755746),POINT (-73.975939 40.576127),2997.8947
794,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,59,9 Av (D),40.646292,-73.994324,POINT (-73.987581 40.755746),POINT (-73.994324 40.646292),2991.0801
314,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,145,190 St (A),40.859022,-73.93418,POINT (-74.007838 40.710089),POINT (-73.93418 40.859022),2986.7669
1846,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,109,Fresh Pond Rd (M),40.706186,-73.895877,POINT (-73.977359 40.751992),POINT (-73.895877 40.706186),2978.0684
1791,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,444,Gun Hill Rd (5),40.869526,-73.846384,POINT (-74.007838 40.710089),POINT (-73.846384 40.869526),2972.5056
239,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,364,Zerega Av (6),40.836488,-73.847036,POINT (-73.977359 40.751992),POINT (-73.847036 40.836488),2971.3454
